business_name,category,web_status,lead_tag,rating,reviews_count,phone,website,suburb,address,google_maps_url,google_search_url
Goddess of Nails & Beauty,Nail salon,none,Hot — no website,4.8,3772,+61 3 8609 8111,,Melbourne,"Store 305A/287 Lonsdale St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Goddess%20of%20Nails%20%26%20Beauty&query_place_id=ChIJT4nmiMpC1moRrjkKFaQWb5k,https://www.google.com/search?q=Goddess+of+Nails+%26+Beauty
Envogue Nails,Nail salon,none,Hot — no website,4.9,2510,+61 3 9088 8855,,Melbourne,"Level 2/287 Lonsdale St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Envogue%20Nails&query_place_id=ChIJTw79_4hD1moRgtGdED0uSa0,https://www.google.com/search?q=Envogue+Nails
Khao Man Gai Restaurant,Thai restaurant,social_only,"Hot — no website, strong social",4.7,2185,+61 3 9600 0640,https://www.instagram.com/khaomangaimelbourne/,Melbourne,"Shop A&B/389 Lonsdale St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Khao%20Man%20Gai%20Restaurant&query_place_id=ChIJa1ZZaOFd1moRkMNUtDcBMfY,https://www.google.com/search?q=Khao+Man+Gai+Restaurant
Lavish Barbers,Barber shop,social_only,"Hot — no website, strong social",4.8,1493,+61 3 9995 0437,https://www.instagram.com/lavish.barberss,Melbourne,"60 La Trobe St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Lavish%20Barbers&query_place_id=ChIJPUNh-o5D1moR-rgNv0M_zew,https://www.google.com/search?q=Lavish+Barbers
Nisa's Cafe Bar & Restaurant (Nisa’s Thai Street Food),Thai restaurant,none,Hot — no website,4.6,677,+61 466 894 683,,Melbourne,"491 Swanston St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Nisa's%20Cafe%20Bar%20%26%20Restaurant%20(Nisa%E2%80%99s%20Thai%20Street%20Food)&query_place_id=ChIJj4m55RZD1moR9hRun-8v1WU,https://www.google.com/search?q=Nisa%27s+Cafe+Bar+%26+Restaurant+%28Nisa%E2%80%99s+Thai+Street+Food%29
Hair Guy Barbershop Melbourne,Hairdresser,social_only,"Hot — no website, strong social",4.9,555,,https://www.instagram.com/hairguyaus/?hl=en,Melbourne,"1/367 Flinders St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Hair%20Guy%20Barbershop%20Melbourne&query_place_id=ChIJpxsEJ7NC1moRW5gYFRuTXCU,https://www.google.com/search?q=Hair+Guy+Barbershop+Melbourne
Q Hair Melbourne,Hairdresser,none,Hot — no website,4.8,268,+61 422 056 250,,Melbourne,"3/237 Exhibition St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Q%20Hair%20Melbourne&query_place_id=ChIJ1_oNWclC1moRjdTZi1Exb7g,https://www.google.com/search?q=Q+Hair+Melbourne
Flower Boutique on Collins,Florist,social_only,"Hot — no website, strong social",4.9,183,+61 423 569 377,https://www.facebook.com/042FLOWERS/,Melbourne,"447 Collins St, Melbourne VIC 3000, Australia",https://www.google.com/maps/search/?api=1&query=Flower%20Boutique%20on%20Collins&query_place_id=ChIJt26O3kxd1moRnswmEtYe25g,https://www.google.com/search?q=Flower+Boutique+on+Collins
Summit Landscaping and Earthworks,Landscape designer,none,Hot — no website,5,17,,,,,https://www.google.com/maps/search/?api=1&query=Summit%20Landscaping%20and%20Earthworks&query_place_id=ChIJ_3xoJ8Bd1moRFbtJzcXoyVg,https://www.google.com/search?q=Summit+Landscaping+and+Earthworks
